[0/200] [346 steps] [state (21, 32)] [goal (105, 178)] [h_dist 230]
[0/200] [347 steps] [state (22, 32)] [goal (105, 178)] [h_dist 229]
[0/200] [348 steps] [state (23, 32)] [goal (105, 178)] [h_dist 228]
[0/200] [349 steps] [state (23, 33)] [goal (105, 178)] [h_dist 227]
[0/200] [350 steps] [state (23, 32)] [goal (105, 178)] [h_dist 228]
[0/200] [351 steps] [state (24, 32)] [goal (105, 178)] [h_dist 227]
[0/200] [352 steps] [state (24, 33)] [goal (105, 178)] [h_dist 226]
[0/200] [353 steps] [state (24, 33)] [goal (105, 178)] [h_dist 226]
[0/200] [354 steps] [state (24, 34)] [goal (105, 178)] [h_dist 225]
[0/200] [355 steps] [state (24, 33)] [goal (105, 178)] [h_dist 226]
[0/200] [356 steps] [state (24, 34)] [goal (105, 178)] [h_dist 225]
[0/200] [357 steps] [state (24, 33)] [goal (105, 178)] [h_dist 226]
[0/200] [358 steps] [state (24, 33)] [goal (105, 178)] [h_dist 226]
